Number,Riding (2023 Representation Order),Province/Territory,Population (2021 Census),Ilocano Mother Tongue,Ilocano per 100K,Tagalog Mother Tongue,Tagalog per 100K,Cebuano Mother Tongue,Cebuano per 100K,Mandarin Mother Tongue,Mandarin per 100K,Punjabi Mother Tongue,Punjabi per 100K,Cantonese Mother Tongue,Cantonese per 100K,Spanish Mother Tongue,Spanish per 100K,Arabic Mother Tongue,Arabic per 100K
24077,Ville-Marie—Le Sud-Ouest—Île-des-Sœurs,Quebec,"114,364",10,8.744010353,200,174.8802071,15,13.11601553,"7,415",6483.683677,665,581.4766885,"1,175",1027.421216,"5,065",4428.841244,"6,750",5902.206988
24078,Vimy,Quebec,"108,773",25,22.98364484,165,151.6920559,10,9.193457935,680,625.1551396,670,615.9616817,415,381.5285043,"4,605",4233.587379,"13,295",12222.70233
35001,Ajax,Ontario,"126,666",145,114.4742867,2840,2242.117064,85,67.10561635,"1,275",1006.584245,"1,220",963.162964,"1,000",789.4778394,"1,305",1030.26858,"1,540",1215.795873
35002,Algonquin—Renfrew—Pembroke,Ontario,"107,420",10,9.309253398,115,107.0564141,5,4.654626699,150,139.638801,90,83.78328058,105,97.74716068,280,260.6590951,135,125.6749209
35003,Aurora—Oak Ridges—Richmond Hill,Ontario,"117,750",70,59.44798301,725,615.7112527,20,16.985138,"13,360",11346.07219,210,178.343949,"8,065",6849.2569,"1,350",1146.496815,"1,470",1248.407643
35004,Barrie South—Innisfil,Ontario,"120,378",55,45.68941169,635,527.5050258,30,24.92149728,820,681.1875924,465,386.2832079,265,220.1398927,"2,400",1993.719783,415,344.7473791
35005,Barrie—Springwater—Oro-Medonte,Ontario,"115,495",50,43.2919174,405,350.6645309,15,12.98757522,585,506.5154336,695,601.7576518,205,177.4968613,"1,110",961.0805663,310,268.4098879
35006,Bay of Quinte,Ontario,"110,164",15,13.61606332,255,231.4730765,20,18.1547511,255,231.4730765,310,281.398642,170,154.3153843,465,422.097963,185,167.9314477
35007,Beaches—East York,Ontario,"109,359",105,96.01404548,1565,1431.066487,30,27.43258442,950,868.6985068,310,283.470039,"2,380",2176.318364,"1,695",1549.94102,680,621.8052469
35008,Bowmanville—Oshawa North,Ontario,"128,534",40,31.12017054,820,637.963496,30,23.3401279,"1,020",793.5643487,595,462.9125368,585,455.1324941,975,758.5541569,730,567.9431123
35009,Brampton Centre,Ontario,"109,450",135,123.3439927,2265,2069.4381,65,59.38784833,400,365.463682,"10,170",9291.914116,430,392.8734582,"2,660",2430.333486,750,685.2444038
35010,Brampton—Chinguacousy Park,Ontario,"115,568",155,134.1201717,"2,670",2310.328119,100,86.52914302,405,350.4430292,"18,065",15631.48969,540,467.2573723,"3,250",2812.197148,840,726.8448013
35011,Brampton East,Ontario,"119,214",75,62.91207409,610,511.6848692,10,8.388276545,235,197.1244988,"41,320",34660.35868,330,276.813126,980,822.0511014,590,494.9083161
35012,Brampton North—Caledon,Ontario,"106,762",75,70.24971432,"1,115",1044.379086,35,32.78320001,490,458.9648002,"24,970",23388.47155,500,468.3314288,"1,430",1339.427886,515,482.3813716
35013,Brampton South,Ontario,"113,252",90,79.46879525,1520,1342.139653,60,52.97919684,635,560.6964998,"29,390",25950.97658,665,587.1860983,870,768.1983541,820,724.0490234
35014,Brampton West,Ontario,"114,260",85,74.39173814,1850,1619.114301,40,35.00787677,235,205.671276,"22,925",20063.88938,380,332.5748293,"1,170",1023.980396,720,630.1417819
35015,Brantford—Brant South—Six Nations,Ontario,"121,511",45,37.03368419,565,464.9784793,20,16.4594152,320,263.3506432,"2,255",1855.799063,180,148.1347368,850,699.5251459,470,386.7962571
35016,Bruce—Grey—Owen Sound,Ontario,"113,348",10,8.822387691,100,88.22387691,5,4.411193846,75,66.16790768,170,149.9805907,75,66.16790768,285,251.4380492,140,123.5134277
35017,Burlington,Ontario,"125,435",60,47.83353928,830,661.6972934,45,35.87515446,915,729.4614741,630,502.2521625,405,322.8763902,"2,035",1622.354207,"1,540",1227.727508
35018,Burlington North—Milton West,Ontario,"125,575",45,35.83515827,"1,380",1098.944854,30,23.89010551,"1,930",1536.930121,"2,385",1899.263388,690,549.4724268,"2,520",2006.768863,"4,280",3408.32172
35019,Cambridge,Ontario,"119,493",50,41.84345527,620,518.8588453,40,33.47476421,340,284.5354958,"2,490",2083.804072,265,221.7703129,"1,395",1167.432402,"1,070",895.4499427
35020,Carleton,Ontario,"124,416",15,12.05632716,295,237.1077675,25,20.0938786,"2,280",1832.561728,645,518.4220679,615,494.3094136,"1,085",872.0743313,"2,420",1945.087449
35021,Chatham-Kent—Leamington,Ontario,"134,226",30,22.35036431,805,599.7347757,15,11.17518216,190,141.5523073,240,178.8029145,110,81.95133581,"1,855",1381.997527,"1,115",830.6885402
35022,Davenport,Ontario,"125,048",260,207.9201587,1955,1563.399655,75,59.97696884,"1,330",1063.591581,345,275.8940567,"2,750",2199.155524,"6,430",5142.025462,620,495.8096091
35023,Don Valley North,Ontario,"111,122",260,233.9770702,2710,2438.761001,95,85.49162182,"14,325",12891.23666,380,341.9664873,"9,190",8270.189521,"2,280",2051.798924,"2,170",1952.808625
35024,Don Valley West,Ontario,"120,579",300,248.7995422,3710,3076.821005,85,70.49320363,"3,970",3292.447275,525,435.3991989,"2,715",2251.635857,"2,125",1762.330091,"2,600",2156.262699
35025,Dufferin—Caledon,Ontario,"120,812",40,33.10929378,450,372.479555,15,12.41598517,195,161.4078072,"3,640",3012.945734,110,91.05055789,"1,350",1117.438665,290,240.0423799
35026,Eglinton—Lawrence,Ontario,"115,832",940,811.5201326,6135,5296.463844,255,220.146419,"1,880",1623.040265,145,125.1812971,"1,485",1282.029146,"3,830",3306.512881,450,388.4936805
35027,Elgin—St. Thomas—London South,Ontario,"112,448",10,8.892999431,260,231.2179852,10,8.892999431,140,124.501992,605,538.0264656,145,128.9484917,775,689.2074559,"1,045",929.3184405
35028,Essex,Ontario,"131,691",10,7.593533347,295,224.0092337,5,3.796766674,735,558.124701,"1,035",785.9307014,255,193.6351003,905,687.2147679,"1,425",1082.078502
35029,Etobicoke Centre,Ontario,"125,606",130,103.4982405,"1,975",1572.377116,75,59.71052338,"1,620",1289.747305,565,449.8192761,"1,155",919.5420601,"3,910",3112.908619,"1,255",999.1560913
35030,Etobicoke—Lakeshore,Ontario,"120,956",85,70.27348788,1705,1409.603492,40,33.06987665,"1,445",1194.649294,445,367.9023777,"1,135",938.3577499,"3,425",2831.608188,"1,090",901.1541387
35031,Etobicoke North,Ontario,"116,886",325,278.048697,2760,2361.275089,105,89.8311175,435,372.1574868,"8,105",6934.106736,585,500.4876546,"4,750",4063.788649,"1,890",1616.960115
35032,Flamborough—Glanbrook—Brant North,Ontario,"103,836",5,4.815285643,305,293.7324242,5,4.815285643,410,394.8534227,920,886.0125583,145,139.6432836,880,847.4902731,755,727.1081321
35033,Guelph,Ontario,"118,498",40,33.75584398,800,675.1168796,70,59.07272697,"1,055",890.310385,"1,315",1109.723371,835,704.6532431,"1,375",1160.357137,945,797.481814
35034,Haldimand—Norfolk,Ontario,"116,706",20,17.1370795,205,175.6550649,0,0,100,85.68539749,100,85.68539749,65,55.69550837,450,385.5842887,145,124.2438264
35035,Haliburton—Kawartha Lakes,Ontario,"119,150",5,4.196391104,130,109.1061687,0,0,120,100.7133865,90,75.53503987,145,121.695342,190,159.4628619,60,50.35669324
